identity,prefix,nick,first,last,suffix,email,phone,phone2,managedBy,priority,bunit,category,watchlist,startDate,endDate,work_city,work_country,work_lat,work_long
,Mrs.,,Chloe,Apela,,capela@acmetech.com,+1 (800)555-8783,+1 (800)555-9838,goose,high,americas,,,160425780,,San Jose,USA,37.3382N,121.8863W
,Miss,,Staci,Stansbury,,sstansbury@acmetech.com,+1 (800)555-5911,+1 (800)555-9435,,critical,americas,pci,,1/26/1983 10:23,,San Jose,USA,37.3382N,121.8863W
dude,Dr.,,Talitha,Wegner,,twegner@acmetech.com,+1 (800)555-5314,+1 (800)555-6896,,,americas,,,6/16/02 0:50,,San Jose,USA,37.3382N,121.8863W
,,,Nelson,Henderosn,,nhenderosn@acmetech.com,+1 (800)555-6434,+1 (800)555-7092,,,americas,,,135953520,,San Jose,USA,37.3382N,121.8863W
,Mr.,,Mervin,Sharplin,,msharplin@acmetech.com,+1 (800)555-6658,+1 (800)555-9603,,low,americas,,TRUE,9/23/1997 16:04,,San Jose,USA,37.3382N,121.8863W
,Dr.,,Brant,Zeier,I,bzeier@acmetech.com,+1 (800)555-4426,+1 (800)555-1693,,medium,americas,contractor,,4/4/74 8:00,,San Francisco,USA,37.78N,122.41W
,,,Hans,Chelette,,hchelette@acmetech.com,+1 (800)555-6528,+1 (800)555-5443,,high,americas,,,913066920,,San Francisco,USA,37.78N,122.41W
taters|lietzow.tim,Mr.,Tim,Timothy,Lietzow,,tlietzow@acmetech.com,+1 (800)555-1060,+1 (800)555-7024,a.koski,critical,americas,officer,,7/31/1999 23:24,,San Francisco,USA,37.78N,122.41W
,Dr.,,Bryant,Mcgown,,bmcgown@acmetech.com,+1 (800)555-7477,+1 (800)555-1337,,,americas,pip,,4/20/77 19:44,,San Francisco,USA,37.78N,122.41W
,,,Gordon,Clough,,gclough@acmetech.com,+1 (800)555-5530,+1 (800)555-7083,lietzow.tim,,americas,,,160185780,646666800,San Francisco,USA,37.78N,122.41W
,Mr.,,Emile,Gamm,,egamm@acmetech.com,+1 (800)555-8152,+1 (800)555-4527,,low,americas,,,2/1/2004 3:20,,San Francisco,USA,37.78N,122.41W
,Dr.,,Paul,Faurote,,pfaurote@acmetech.com,+1 (800)555-8822,+1 (800)555-5168,,medium,americas,,,8/29/97 10:14,,San Francisco,USA,37.78N,122.41W
pineapple,,,Forrest,Glaviano,,fglaviano@acmetech.com,+1 (800)555-8904,+1 (800)555-1053,,high,americas,sox,,877025040,,San Francisco,USA,37.78N,122.41W
,Mr.,Bobby,Robert,Linebaugh,,blinebaugh@acmetech.com,+1 (800)555-1708,+1 (800)555-9342,,critical,americas,,,2/6/1998 4:55,,San Francisco,USA,37.78N,122.41W
,Dr.,,Ian,Doiley,,idoiley@acmetech.com,+1 (800)555-5475,+1 (800)555-3981,lietzow.tim,,americas,intern,,4/30/70 13:21,,San Francisco,USA,37.78N,122.41W
,,,Julio,Newberg,II,jnewberg@acmetech.com,+1 (800)555-6611,+1 (800)555-6015,,,americas,,,613210260,,San Francisco,USA,37.78N,122.41W
,Mr.,,Wilfred,Groce,,wgroce@acmetech.com,+1 (800)555-4409,+1 (800)555-7116,,low,americas,,,8/14/1982 20:23,,San Francisco,USA,37.78N,122.41W
bakery|ohlerw,Dr.,,Wendell,Ohler,,wohler@acmetech.com,+1 (800)555-7179,+1 (800)555-1374,,medium,americas,pci|cardholder,TRUE,2/10/83 23:54,,San Francisco,USA,37.78N,122.41W
,,,Sebastian,Mamone,,smamone@acmetech.com,+1 (800)555-6790,+1 (800)555-3276,,high,americas,,,1062881580,,San Francisco,USA,37.78N,122.41W
hax0r,Mr.,,Hershel,Trapper,,htrapper@acmetech.com,+1 (800)555-3039,+1 (800)555-3154,,critical,americas,,TRUE,6/15/1993 20:07,3/2/1998 22:53,San Francisco,USA,37.78N,122.41W
,Dr.,,Efrain,Cudan,,ecudan@acmetech.com,+1 (800)555-9049,+1 (800)555-3814,,,americas,,,4/19/75 19:33,,San Francisco,USA,37.78N,122.41W
,,Nathan,Nathanael,Pernesky,,npernesky@acmetech.com,+1 (800)555-1713,+1 (800)555-5253,,,americas,,,501775740,,San Francisco,USA,37.78N,122.41W
mud,Mr.,,Long,Gehret,,lgehret@acmetech.com,+1 (800)555-9642,+1 (800)555-2707,a.koski,low,americas,,,10/8/1973 20:34,8/2/1994 12:39,San Francisco,USA,37.78N,122.41W
,Dr.,Drama,Rocky,Galizia,,rgalizia@acmetech.com,+1 (800)555-1104,+1 (800)555-1465,,medium,americas,pip|contractor,TRUE,2/18/95 2:27,,San Francisco,USA,37.78N,122.41W
,,,Anton,Gasiewski,Jr.,agasiewski@acmetech.com,+1 (800)555-3720,+1 (800)555-7601,,high,americas,,,275433300,,San Francisco,USA,37.78N,122.41W
,Mr.,,Ralph,Frie,Sr.,rfrie@acmetech.com,+1 (800)555-5147,+1 (800)555-1061,,critical,americas,,,12/3/1970 10:14,,San Francisco,USA,37.78N,122.41W
,Dr.,,Casey,Goding,III,cgoding@acmetech.com,+1 (800)555-9163,+1 (800)555-5838,,,americas,,,8/18/70 6:31,9/22/01 8:29,San Francisco,USA,37.78N,122.41W
gamer|chaleje,,Chad,Chadwick,Lejenne,IV,clejenne@acmetech.com,+1 (800)555-6931,+1 (800)555-8217,,,americas,,,1044715080,,San Francisco,USA,37.78N,122.41W
,Mr.,Bill,William,Williams,,Bill_williams@acmecorp.com,+1 (800)555-1212,+1 (800)555-3814,,medium,americas,officer,TRUE,3/8/2002 0:00,,San Jose,USA,37.3382N,121.8863W
dmsys,Mr.,,Don,Meyers,,dmsys@acmetech.com,+1 (800)555-5670,+1 (800)555-9400,,medium,americas,,,10/2/75 10:55,7/20/83 1:03,San Jose,USA,37.3382N,121.8863W
capela,Mr,Chris,Chris,Apela,,capela@acmetech.com,+1 (800)555-5670,+1 (800)555-1061,,medium,americas,contractor,TRUE,607824000,,Stockholm,Sweden,59.3294N,18.0686E
bzeier,Mr,Ben,Ben,Zeier,,bzeier@acmetech.com,+1 (800)555-5147,+1 (800)555-5838,a.koski,high,americas,sox,TRUE,6/22/1985  10:55,,San Jose,USA,37.3382N,121.8863W
Joy,Mr,Rence,Joy,Rence,,joy_rence@bankofvulcan.com,+1 (800)555-6931,+1 (800)555-3814,joy_rence,low,americas,,FALSE,2/8/03 14:38,9/22/15 8:29,London,UK,51.507N,0.1275W
